caseIndex,caseLabel,status,Current density [A/m^2],diagnostic:it,diagnostic:z[mm],diagnostic:I[mA],diagnostic:<x>[mm],diagnostic:xmax[mm],diagnostic:xmin[mm],diagnostic:<y>[mm],diagnostic:ymax[mm],diagnostic:ymin[mm],diagnostic:<x'>[mrad],diagnostic:<y'>[mrad],diagnostic:Dx[mrad],diagnostic:Dy[mrad],diagnostic:<V>[V],diagnostic:<B>[mT],diagnostic:rho[1/m3],diagnostic:sigma[m2],negativeIon:it,negativeIon:z[mm],negativeIon:I[mA],negativeIon:<x>[mm],negativeIon:xmax[mm],negativeIon:xmin[mm],negativeIon:<y>[mm],negativeIon:ymax[mm],negativeIon:ymin[mm],negativeIon:<x'>[mrad],negativeIon:<y'>[mrad],negativeIon:Dx[mrad],negativeIon:Dy[mrad],negativeIon:<V>[V],negativeIon:<B>[mT],negativeIon:rho[1/m3],negativeIon:sigma[m2],gridPower:ALL:totalIncludedBeamPowerWatts,gridPower:HM:totalIncludedBeamPowerWatts
0,Current GUI values,completed,120.0,0,73.5,-19.5955,0.000505802,3.51161,-3.4842,0.000251972,3.56789,-3.55636,0.0224834,0.0259519,7.5864,7.57026,52.222,0,0,0,0,87,-19.5955,0.000808186,3.54918,-3.51972,0.000599278,3.6098,-3.5975,0.0222513,0.025416,7.25345,7.24361,52.2516,0,0,0,0.0,0.0
1,case_002,completed,100.0,0,73.5,-16.7598,0.00211384,2.76107,-2.76532,0.00137338,2.81116,-2.80628,0.0465458,0.0295373,13.1769,13.1452,52.2165,0,0,0,0,87,-16.7598,0.00274869,2.8472,-2.85161,0.00177367,2.90403,-2.89829,0.0473416,0.0296751,13.3576,13.333,52.2578,0,0,0,0.0,0.0
2,case_003,completed,80.0,0,73.5,-13.667,-0.00129239,3.94485,-3.93299,-0.00150586,3.95084,-3.93826,-0.0180613,-0.0239365,22.502,22.4769,52.2328,0,0,0,0,87,-13.667,-0.00154022,5.09632,-5.08319,-0.00183153,5.10327,-5.08903,-0.0185643,-0.0242052,23.4552,23.4321,52.2841,0,0,0,0.0,0.0
3,case_004,completed,60.0,0,73.5,-10.4339,0.00254155,6.64517,-6.64217,0.0027759,6.63669,-6.63942,0.0364622,0.036103,33.4038,33.4787,52.2569,0,0,0,0,87,-10.4339,0.00303592,8.06181,-8.05713,0.00326686,8.05271,-8.0549,0.0364607,0.0363498,34.5235,34.5985,52.3194,0,0,0,0.0,0.0
4,case_005,completed,140.0,0,73.5,-22.0475,-0.000561605,3.75449,-3.74105,-0.000360663,3.82617,-3.83681,-0.00915297,-0.00957176,3.83258,3.85127,52.226,0,0,0,0,87,-22.0475,-0.000684323,3.73433,-3.71813,-0.000490239,3.823,-3.84179,-0.00897534,-0.00951974,3.04603,3.07923,52.2507,0,0,0,0.0,0.0
5,case_006,completed,160.0,0,73.5,-24.385,0.00226754,4.21113,-4.26322,0.000897697,4.23579,-4.3189,-0.0352563,-0.0301659,4.86472,4.86556,52.2263,0,0,0,0,87,-24.385,0.00179277,4.20503,-4.21671,0.000491225,4.2282,-4.27702,-0.0353045,-0.0301727,5.57476,5.56885,52.2455,0,0,0,0.260493,0.260493
