caseIndex,caseLabel,status,Current density [A/m^2],diagnostic:it,diagnostic:z[mm],diagnostic:I[mA],diagnostic:<x>[mm],diagnostic:xmax[mm],diagnostic:xmin[mm],diagnostic:<y>[mm],diagnostic:ymax[mm],diagnostic:ymin[mm],diagnostic:<x'>[mrad],diagnostic:<y'>[mrad],diagnostic:Dx[mrad],diagnostic:Dy[mrad],diagnostic:<V>[V],diagnostic:<B>[mT],diagnostic:rho[1/m3],diagnostic:sigma[m2],negativeIon:it,negativeIon:z[mm],negativeIon:I[mA],negativeIon:<x>[mm],negativeIon:xmax[mm],negativeIon:xmin[mm],negativeIon:<y>[mm],negativeIon:ymax[mm],negativeIon:ymin[mm],negativeIon:<x'>[mrad],negativeIon:<y'>[mrad],negativeIon:Dx[mrad],negativeIon:Dy[mrad],negativeIon:<V>[V],negativeIon:<B>[mT],negativeIon:rho[1/m3],negativeIon:sigma[m2],gridPower:ALL:totalIncludedBeamPowerWatts,gridPower:HM:totalIncludedBeamPowerWatts
0,Current GUI values,completed,120.0,0,73.5,-19.818,0.001739,3.5813,-4.11829,0.0207382,3.74471,-3.70906,-0.0575367,0.0226488,8.63789,8.72398,52.2209,0,0,6.18504e-20,0,87,-19.818,0.000898396,3.63768,-4.27779,0.0210861,3.82207,-3.80613,-0.0681881,0.027072,8.69163,8.76716,52.2504,0,0,6.18306e-20,0.0,0.0
1,case_002,completed,100.0,0,73.5,-16.9704,-0.000874632,2.71965,-2.70084,-0.0022912,2.75819,-2.7989,-0.0249945,-0.0419264,13.2765,13.3343,52.2157,0,0,6.18539e-20,0,87,-16.9704,-0.00121643,2.79955,-2.75473,-0.0028694,2.8306,-2.87252,-0.0256188,-0.043571,13.6364,13.7068,52.2566,0,0,6.18265e-20,0.0,0.0
2,case_003,completed,80.0,0,73.5,-13.8355,0.000318389,3.94922,-3.90616,-0.00275245,4.05649,-4.02863,0.00155119,-0.0445722,22.4605,22.6095,52.233,0,0,6.18423e-20,0,87,-13.8355,0.000339065,5.05154,-5.04824,-0.00336155,5.22318,-5.19192,0.00138071,-0.0454314,23.4518,23.6012,52.2835,0,0,6.18085e-20,0.0,0.0
3,case_004,completed,60.0,0,73.5,-10.638,0.00380642,6.56467,-6.60806,0.000238561,6.59673,-6.60608,0.0487578,0.00133562,33.5519,33.4973,52.2554,0,0,6.18273e-20,0,87,-10.638,0.00445776,8.02082,-8.06598,0.000245003,8.04869,-8.06113,0.0471551,-0.000556828,34.6705,34.6235,52.3177,0,0,6.17857e-20,0.0,0.0
4,case_005,completed,140.0,0,73.5,-22.4683,-0.00948886,4.49913,-4.541,-0.0524646,4.088,-4.34794,0.00937172,-0.491002,8.09952,7.15447,52.223,0,0,6.1849e-20,0,87,-22.4683,-0.00952301,4.63346,-4.61752,-0.0596612,4.08125,-4.52371,-0.0145982,-0.572739,8.40353,7.48702,52.2469,0,0,6.1833e-20,0.0127185,0.0127185
5,case_006,completed,160.0,0,73.5,-22.9507,-0.132985,4.89308,-4.9808,0.0367385,4.96875,-5.00584,0.012722,-0.0165555,8.91354,9.07363,52.2341,0,0,6.18416e-20,0,87,-22.9507,-0.133665,5.04026,-5.1587,0.0366999,5.17609,-5.18957,-0.105349,0.00880778,9.92581,10.1302,52.2575,0,0,6.18259e-20,12.4899,12.4899
