caseIndex,caseLabel,status,Current density [A/m^2],diagnostic:it,diagnostic:z[mm],diagnostic:I[mA],diagnostic:<x>[mm],diagnostic:xmax[mm],diagnostic:xmin[mm],diagnostic:<y>[mm],diagnostic:ymax[mm],diagnostic:ymin[mm],diagnostic:<x'>[mrad],diagnostic:<y'>[mrad],diagnostic:Dx[mrad],diagnostic:Dy[mrad],diagnostic:<V>[V],diagnostic:<B>[mT],diagnostic:rho[1/m3],diagnostic:sigma[m2],negativeIon:it,negativeIon:z[mm],negativeIon:I[mA],negativeIon:<x>[mm],negativeIon:xmax[mm],negativeIon:xmin[mm],negativeIon:<y>[mm],negativeIon:ymax[mm],negativeIon:ymin[mm],negativeIon:<x'>[mrad],negativeIon:<y'>[mrad],negativeIon:Dx[mrad],negativeIon:Dy[mrad],negativeIon:<V>[V],negativeIon:<B>[mT],negativeIon:rho[1/m3],negativeIon:sigma[m2],gridPower:ALL:totalIncludedBeamPowerWatts,gridPower:HM:totalIncludedBeamPowerWatts
0,Current GUI values,completed,120.0,0,73.5,-19.8115,-0.0164781,3.53651,-3.5659,-0.00606961,3.61665,-3.499,-0.112394,-0.127524,6.85122,7.31412,52.219,0,0,6.18517e-20,0,87,-19.8115,-0.0181529,3.62604,-3.62812,-0.00791037,3.66074,-3.55096,-0.134852,-0.145564,6.75207,7.3815,52.2478,0,0,6.18324e-20,0.0,0.0
1,case_002,completed,100.0,0,73.5,-16.992,-0.00407703,2.71987,-3.16169,-0.00165772,2.73784,-2.77243,-0.00451614,-0.026919,13.4035,13.3853,52.2159,0,0,6.18537e-20,0,87,-16.992,-0.0041687,2.79904,-3.29524,-0.00204822,2.80053,-2.8438,-0.00848673,-0.0308343,13.7501,13.7354,52.2568,0,0,6.18264e-20,0.0,0.0
2,case_003,completed,80.0,0,73.5,-13.8341,0.000507969,3.95247,-3.90026,-0.00276263,4.05504,-4.02482,0.00493105,-0.047499,22.4504,22.5691,52.233,0,0,6.18423e-20,0,87,-13.8341,0.000577547,5.05533,-5.04158,-0.00340728,5.22156,-5.18754,0.00526872,-0.0476508,23.4402,23.5602,52.2835,0,0,6.18085e-20,0.0,0.0
3,case_004,completed,60.0,0,73.5,-10.6412,0.00392905,6.5663,-6.60621,-0.000920815,6.59665,-6.60438,0.0510725,-0.0168024,33.5848,33.5407,52.2554,0,0,6.18273e-20,0,87,-10.6412,0.00462108,8.02273,-8.06372,-0.00115471,8.04852,-8.05891,0.050936,-0.0178089,34.7031,34.666,52.3177,0,0,6.17857e-20,0.0,0.0
4,case_005,completed,140.0,0,73.5,-22.68,-0.0127817,4.07828,-4.33603,-0.00216488,4.18551,-4.1402,-0.211314,-0.0443976,6.2147,6.23384,52.2247,0,0,6.18479e-20,0,87,-22.68,-0.0157394,4.11926,-4.41687,-0.00291613,4.26175,-4.25552,-0.226081,-0.0676133,6.36365,6.24849,52.2492,0,0,6.18315e-20,0.0,0.0
5,case_006,completed,160.0,0,73.5,-23.449,-0.0531584,4.82077,-4.84907,-0.121844,4.81893,-4.73295,0.358878,-0.638601,8.46439,9.27651,52.2377,0,0,6.18392e-20,0,87,-23.449,-0.0486818,4.92749,-4.94209,-0.131271,4.93361,-4.80142,0.308824,-0.750569,9.05331,10.0224,52.2626,0,0,6.18225e-20,9.00778,9.00778
