-2.00E-02,3.00E+19
0.00E+00,3.00E+19
2.50E-03,3.00E+19
5.34E-03,3.40E+19
4.40E-03,3.31E+19
4.40E-03,3.26E+19
4.40E-03,3.20E+19
2.84E-03,3.05E+19
5.96E-03,3.48E+19
6.65E-03,3.67E+19
1.05E-02,3.71E+19
1.60E-02,3.59E+19
1.74E-02,3.53E+19
1.94E-02,3.41E+19
2.08E-02,3.36E+19
2.26E-02,3.25E+19
2.39E-02,3.19E+19
2.57E-02,3.07E+19
2.72E-02,3.01E+19
2.94E-02,2.87E+19
3.05E-02,2.83E+19
3.26E-02,2.70E+19
3.36E-02,2.65E+19
4.19E-02,2.57E+19
4.61E-02,2.53E+19
5.51E-02,2.44E+19
5.89E-02,2.41E+19
6.75E-02,2.33E+19
7.17E-02,2.28E+19
8.07E-02,2.23E+19
8.45E-02,2.21E+19
9.31E-02,2.19E+19
9.73E-02,2.17E+19
1.06E-01,2.14E+19
1.10E-01,2.13E+19
1.18E-01,2.10E+19
1.22E-01,2.04E+19
1.27E-01,1.93E+19
1.30E-01,1.87E+19
1.36E-01,1.74E+19
1.39E-01,1.71E+19
1.48E-01,1.66E+19
1.52E-01,1.64E+19
1.61E-01,1.58E+19
1.65E-01,1.56E+19
1.73E-01,1.50E+19
1.77E-01,1.48E+19
1.87E-01,1.45E+19
1.90E-01,1.44E+19
1.99E-01,1.43E+19
2.03E-01,1.42E+19
2.12E-01,1.39E+19
2.16E-01,1.38E+19
2.25E-01,1.33E+19
2.28E-01,1.28E+19
2.37E-01,1.17E+19
2.42E-01,1.15E+19
2.50E-01,1.12E+19
2.54E-01,1.10E+19
2.63E-01,1.07E+19
2.67E-01,1.06E+19
2.76E-01,1.03E+19
2.80E-01,1.02E+19
2.89E-01,1.00E+19
2.93E-01,9.95E+18
3.01E-01,9.86E+18
3.05E-01,9.84E+18
3.15E-01,9.64E+18
3.18E-01,9.58E+18
3.27E-01,9.33E+18
3.31E-01,9.09E+18
3.40E-01,8.56E+18
3.44E-01,8.41E+18
3.53E-01,8.23E+18
3.56E-01,8.16E+18
3.66E-01,8.04E+18
3.70E-01,7.96E+18
3.78E-01,7.85E+18
3.82E-01,7.76E+18
3.91E-01,7.58E+18
3.95E-01,7.59E+18
4.04E-01,7.55E+18
4.08E-01,7.47E+18
4.17E-01,7.47E+18
4.21E-01,7.39E+18
4.29E-01,7.30E+18
4.33E-01,7.19E+18
4.42E-01,6.89E+18
4.46E-01,6.79E+18
4.55E-01,6.62E+18
4.59E-01,6.56E+18
4.68E-01,6.41E+18
4.72E-01,6.31E+18
4.81E-01,6.15E+18
4.84E-01,6.05E+18
4.94E-01,5.93E+18
4.98E-01,5.83E+18
5.07E-01,5.76E+18
5.10E-01,5.62E+18
5.24E-01,5.33E+18
5.31E-01,5.26E+18
5.36E-01,5.13E+18
5.56E-01,4.90E+18
5.63E-01,4.90E+18
5.82E-01,4.91E+18
5.88E-01,4.91E+18
6.01E-01,4.72E+18
