-1.30E-02,5.80E+19
7.00E-03,5.80E+19
8.00E-03,5.11E+19
9.00E-03,4.42E+19
1.00E-02,3.74E+19
1.10E-02,3.05E+19
1.20E-02,2.36E+19
1.30E-02,1.67E+19
1.40E-02,1.67E+19
1.50E-02,1.67E+19
1.60E-02,1.67E+19
1.70E-02,1.67E+19
1.80E-02,1.67E+19
1.90E-02,1.67E+19
2.00E-02,1.65E+19
2.10E-02,1.63E+19
2.20E-02,1.61E+19
2.30E-02,1.59E+19
2.40E-02,1.57E+19
2.50E-02,1.55E+19
2.60E-02,1.53E+19
2.70E-02,1.51E+19
2.80E-02,1.49E+19
2.90E-02,1.47E+19
3.00E-02,1.45E+19
3.10E-02,1.43E+19
3.20E-02,1.41E+19
3.25E-02,1.40E+19
3.35E-02,1.40E+19
3.45E-02,1.36E+19
3.55E-02,1.32E+19
3.65E-02,1.28E+19
3.75E-02,1.28E+19
3.85E-02,1.28E+19
3.95E-02,1.28E+19
4.05E-02,1.28E+19
4.15E-02,1.28E+19
4.25E-02,1.28E+19
4.35E-02,1.28E+19
4.45E-02,1.28E+19
4.55E-02,1.28E+19
4.65E-02,1.28E+19
4.75E-02,1.28E+19
4.85E-02,1.28E+19
4.95E-02,1.28E+19
5.05E-02,1.28E+19
5.15E-02,1.28E+19
5.25E-02,1.28E+19
5.35E-02,1.28E+19
5.45E-02,1.28E+19
5.55E-02,1.28E+19
5.65E-02,1.28E+19
5.75E-02,1.28E+19
5.85E-02,1.28E+19
5.95E-02,1.28E+19
6.05E-02,1.28E+19
6.15E-02,1.28E+19
6.25E-02,1.28E+19
6.35E-02,1.28E+19
6.45E-02,1.28E+19
6.55E-02,1.28E+19
6.65E-02,1.28E+19
6.75E-02,1.28E+19
6.85E-02,1.28E+19
6.95E-02,1.28E+19
7.05E-02,1.28E+19
7.15E-02,1.28E+19
7.25E-02,1.28E+19
7.35E-02,1.28E+19
7.45E-02,1.28E+19
7.55E-02,1.28E+19
7.65E-02,1.28E+19
7.75E-02,1.28E+19
7.85E-02,1.28E+19
7.95E-02,1.28E+19
8.05E-02,1.28E+19
8.15E-02,1.28E+19
8.25E-02,1.28E+19
8.35E-02,1.28E+19
8.45E-02,1.28E+19
8.55E-02,1.28E+19
8.65E-02,1.28E+19
8.75E-02,1.28E+19
8.85E-02,1.28E+19
8.95E-02,1.28E+19
9.05E-02,1.28E+19
9.15E-02,1.28E+19
9.25E-02,1.28E+19
