-0.037	4.64E+19
-0.017	4.69E+19
-0.007	4.66E+19
0.003	3.95E+19
0.00633	3.65E+19
0.00967	3.20E+19
0.013	2.93E+19
0.01633	2.75E+19
0.01967	2.48E+19
0.023	2.14E+19
0.02633	1.86E+19
0.02967	1.64E+19
0.033	1.45E+19
0.03967	1.29E+19
0.05467	1.23E+19
0.06967	1.21E+19
0.08467	1.19E+19
0.09967	1.18E+19
0.11467	1.15E+19
0.11967	1.12E+19
0.12467	1.14E+19
0.12967	1.11E+19
0.13467	1.05E+19
0.13967	1.01E+19
0.15467	9.89E+18
0.16967	9.83E+18
0.18467	9.81E+18
0.19967	9.80E+18
0.21467	9.79E+18
0.21967	9.75E+18
0.22467	9.64E+18
0.22967	9.59E+18
0.23467	9.50E+18
0.23967	9.38E+18
0.25467	9.22E+18
0.26967	9.21E+18
0.28467	9.21E+18
0.29967	9.20E+18
0.31467	9.19E+18
0.31967	9.18E+18
0.32467	9.16E+18
0.32967	9.10E+18
0.33467	9.04E+18
0.33967	8.96E+18
0.34467	8.88E+18
0.35967	8.77E+18
0.37467	8.76E+18
0.38967	8.75E+18
0.40467	8.75E+18
0.41967	8.74E+18
0.42467	8.73E+18
0.42967	8.71E+18
0.43467	8.65E+18
0.43967	8.59E+18
0.44467	8.53E+18
0.44967	8.48E+18
0.46467	8.40E+18
0.47967	8.39E+18
0.49467	8.38E+18
0.50967	8.36E+18
0.52467	8.36E+18
0.52967	8.34E+18
0.53467	8.30E+18
0.53967	8.21E+18
0.54467	8.07E+18
0.54967	7.94E+18
0.56467	7.67E+18
0.57967	7.64E+18
0.603	7.63E+18
