-0.04	4.64E+19
-0.02	4.69E+19
-0.01	4.66E+19
0	3.95E+19
0.00333	3.65E+19
0.00667	3.20E+19
0.01	2.93E+19
0.01333	2.75E+19
0.01667	2.48E+19
0.02	2.14E+19
0.02333	1.86E+19
0.02667	1.64E+19
0.03	1.45E+19
0.03667	1.29E+19
0.05167	1.23E+19
0.06667	1.21E+19
0.08167	1.19E+19
0.09667	1.18E+19
0.11167	1.15E+19
0.11667	1.12E+19
0.12167	1.14E+19
0.12667	1.11E+19
0.13167	1.05E+19
0.13667	1.01E+19
0.15167	9.89E+18
0.16667	9.83E+18
0.18167	9.81E+18
0.19667	9.80E+18
0.21167	9.79E+18
0.21667	9.75E+18
0.22167	9.64E+18
0.22667	9.59E+18
0.23167	9.50E+18
0.23667	9.38E+18
0.25167	9.22E+18
0.26667	9.21E+18
0.28167	9.21E+18
0.29667	9.20E+18
0.31167	9.19E+18
0.31667	9.18E+18
0.32167	9.16E+18
0.32667	9.10E+18
0.33167	9.04E+18
0.33667	8.96E+18
0.34167	8.88E+18
0.35667	8.77E+18
0.37167	8.76E+18
0.38667	8.75E+18
0.40167	8.75E+18
0.41667	8.74E+18
0.42167	8.73E+18
0.42667	8.71E+18
0.43167	8.65E+18
0.43667	8.59E+18
0.44167	8.53E+18
0.44667	8.48E+18
0.46167	8.40E+18
0.47667	8.39E+18
0.49167	8.38E+18
0.50667	8.36E+18
0.52167	8.36E+18
0.52667	8.34E+18
0.53167	8.30E+18
0.53667	8.21E+18
0.54167	8.07E+18
0.54667	7.94E+18
0.56167	7.67E+18
0.57667	7.64E+18
0.6	7.63E+18
